delta_teacher,k,error,scaled_coefficient,theory_coefficient,tail_slope
0.0,4,0.12070214137740287,1.931234262038446,3.141592653589793,-1.9975616978815185
0.0,8,0.03679903678969692,2.355138354540603,3.141592653589793,-1.9975616978815185
0.0,16,0.010444556070644566,2.6738063540850088,3.141592653589793,-1.9975616978815185
0.0,32,0.002814164619586994,2.881704570457082,3.141592653589793,-1.9975616978815185
0.0,64,0.0007333202097374668,3.003679579084664,3.141592653589793,-1.9975616978815185
0.0,128,0.00018740223537162343,3.0703982243286783,3.141592653589793,-1.9975616978815185
0.0,256,4.738463892742107e-05,3.105399696747467,3.141592653589793,-1.9975616978815185
0.0,512,1.1914605241962486e-05,3.123342276549014,3.141592653589793,-1.9975616978815185
0.0,1024,2.9873164557625425e-06,3.132428339917664,3.141592653589793,-1.9975616978815185
0.0,2048,7.479192333589068e-07,3.137000632154196,3.141592653589793,-1.9975616978815185
0.0,4096,1.87116513620571e-07,3.1392941661792615,3.141592653589793,-1.9975616978815185
0.0,8192,4.679624422468629e-08,3.140442789385258,3.141592653589793,-1.9975616978815185
0.0,16384,1.1701202266649752e-08,3.1410175661963597,3.141592653589793,-1.9975616978815185
0.25,4,0.12844575517216608,2.0551320827546573,3.344207971923389,-1.9975616629797086
0.25,8,0.03916798004538711,2.506750722904775,3.344207971923389,-1.9975616629797086
0.25,16,0.01111777709687889,2.8461509368009956,3.344207971923389,-1.9975616629797086
0.25,32,0.002995631695341032,3.067526856029217,3.344207971923389,-1.9975616629797086
0.25,64,0.0007806130965875899,3.1973912436227683,3.344207971923389,-1.9975616629797086
0.25,128,0.00019948849332859257,3.2684194746956607,3.344207971923389,-1.9975616629797086
0.25,256,5.044067598837221e-05,3.305680141573961,3.344207971923389,-1.9975616629797086
0.25,512,1.268303064952049e-05,3.3247803865878995,3.344207971923389,-1.9975616629797086
0.25,1024,3.1799817756523743e-06,3.334452570386464,3.344207971923389,-1.9975616629797086
0.25,2048,7.96155877208147e-07,3.33931978039764,3.344207971923389,-1.9975616629797086
0.25,4096,1.9918449176947152e-07,3.341761242266646,3.344207971923389,-1.9975616629797086
0.25,8192,4.9814342665853243e-08,3.3429839472121428,3.344207971923389,-1.9975616629797086
0.25,16384,1.2455864974931834e-08,3.3435957944202555,3.344207971923389,-1.9975616629797086
0.5,4,0.15413965138956037,2.466234422232966,4.033884816088781,-1.9975610641084112
0.5,8,0.04715703627472665,3.0180503215825056,4.033884816088781,-1.9975610641084112
0.5,16,0.013402497008357921,3.431039234139628,4.033884816088781,-1.9975610641084112
0.5,32,0.003612782765716152,3.6994895520933397,4.033884816088781,-1.9975610641084112
0.5,64,0.0009415535619616646,3.8566033897949783,4.033884816088781,-1.9975610641084112
0.5,128,0.0002406259962242524,3.9424163221381514,4.033884816088781,-1.9975610641084112
0.5,256,6.084287073984126e-05,3.9873983768062367,4.033884816088781,-1.9975610641084112
0.5,512,1.529864258259186e-05,4.010447361170961,4.033884816088781,-1.9975610641084112
0.5,1024,3.83578941266495e-06,4.022116719174563,4.033884816088781,-1.9975610641084112
0.5,2048,9.603472522417576e-07,4.027988321466613,4.033884816088781,-1.9975610641084112
0.5,4096,2.4026235604894355e-07,4.030933444102033,4.033884816088781,-1.9975610641084112
0.5,8192,6.008756678216153e-08,4.032408347274996,4.033884816088781,-1.9975610641084112
0.5,16384,1.5024641103175835e-08,4.033146385767348,4.033884816088781,-1.9975610641084112
1.0,4,0.29626671695364976,4.740267471258396,8.539734222673566,-1.9975445684775015
1.0,8,0.09567210538117675,6.123014744395312,8.539734222673566,-1.9975445684775015
1.0,16,0.0279403488255567,7.152729299342515,8.539734222673566,-1.9975445684775015
1.0,32,0.007612087130522431,7.79477722165497,8.539734222673566,-1.9975445684775015
1.0,64,0.0019906336597312695,8.15363547025928,8.539734222673566,-1.9975445684775015
1.0,128,0.0005092272075329269,8.343178568219475,8.539734222673566,-1.9975445684775015
1.0,256,0.0001287927884073897,8.44056418106669,8.539734222673566,-1.9975445684775015
1.0,512,3.238648921398524e-05,8.489923828510946,8.539734222673566,-1.9975445684775015
1.0,1024,8.120319711256786e-06,8.514772361550795,8.539734222673566,-1.9975445684775015
1.0,2048,2.0330522260184062e-06,8.527239083797905,8.539734222673566,-1.9975445684775015
1.0,4096,5.08635228617234e-07,8.533483095720715,8.539734222673566,-1.9975445684775015
1.0,8192,1.2720536841643223e-07,8.536607769128246,8.539734222673566,-1.9975445684775015
1.0,16384,3.1807164748368764e-08,8.538170773295494,8.539734222673566,-1.9975445684775015
