regime,k,exact,monte_carlo,absolute_error
good,1,1.0400000000000102,1.0440790856486537,0.004079085648643455
good,2,0.8877318139468239,0.8897436012556759,0.0020117873088519866
good,4,0.8366996859147448,0.838369568646603,0.0016698827318581966
good,8,0.8149621714296769,0.8164403728674282,0.0014782014377513475
good,16,0.8048387673820907,0.8052811808024946,0.00044241342040385323
good,32,0.7999447198356736,0.8001345173144304,0.00018979747875680353
good,64,0.7975375615208871,0.7976898843425869,0.00015232282169985734
good,128,0.7963437081795335,0.7963529995195421,9.291340008599214e-06
good,256,0.7957491837945434,0.7957192793133175,2.990448122586198e-05
far,1,1.040000000000004,1.043814107303587,0.003814107303582892
far,2,1.0232862802713958,1.0259499349947474,0.002663654723351616
far,4,1.0478431806368422,1.0486334617323099,0.0007902810954676376
far,8,1.064682586859727,1.0664766912275878,0.0017941043678608715
far,16,1.0738258340860756,1.0746213151243198,0.0007954810382442279
far,32,1.0785387772235664,1.079169379459744,0.0006306022361775021
far,64,1.0809263988101097,1.081284952239691,0.00035855342958135417
far,128,1.0821275174351292,1.0824124658969942,0.0002849484618649978
far,256,1.0827298462485193,1.0828133110573477,8.346480882837071e-05
